title,season,number_in_season,number_in_series,original_air_date,imdb_rating,imdb_votes,us_viewers_in_millions,air_year,air_month,weekday_num,weekday,season_episode,rating_group
"Politically Inept, with Homer Simpson",23,10,496,2012-01-08,6.1,549.0,5.07,2012,1,6,Sunday,S23E10,6.0 - 6.9
The D'oh-cial Network,23,11,497,2012-01-15,7.0,553.0,11.48,2012,1,6,Sunday,S23E11,7.0 - 7.9
Moe Goes from Rags to Riches,23,12,498,2012-01-29,5.7,562.0,5.12,2012,1,6,Sunday,S23E12,5.0 - 5.9
The Daughter Also Rises,23,13,499,2012-02-12,6.5,490.0,4.26,2012,2,6,Sunday,S23E13,6.0 - 6.9
At Long Last Leave,23,14,500,2012-02-19,7.0,580.0,5.77,2012,2,6,Sunday,S23E14,7.0 - 7.9
Exit Through the Kwik-E-Mart,23,15,501,2012-03-04,6.9,425.0,5.09,2012,3,6,Sunday,S23E15,6.0 - 6.9
How I Wet Your Mother,23,16,502,2012-03-11,7.3,541.0,4.97,2012,3,6,Sunday,S23E16,7.0 - 7.9
"Them, Robot",23,17,503,2012-03-18,7.1,493.0,5.25,2012,3,6,Sunday,S23E17,7.0 - 7.9
Beware My Cheating Bart,23,18,504,2012-04-15,7.1,470.0,4.86,2012,4,6,Sunday,S23E18,7.0 - 7.9
A Totally Fun Thing That Bart Will Never Do Again,23,19,505,2012-04-29,7.4,568.0,5.0,2012,4,6,Sunday,S23E19,7.0 - 7.9
The Spy Who Learned Me,23,20,506,2012-05-06,6.9,405.0,4.84,2012,5,6,Sunday,S23E20,6.0 - 6.9
Ned 'n Edna's Blend,23,21,507,2012-05-13,6.7,408.0,4.07,2012,5,6,Sunday,S23E21,6.0 - 6.9
Lisa Goes Gaga,23,22,508,2012-05-20,4.5,1215.0,4.82,2012,5,6,Sunday,S23E22,< 5
Moonshine River,24,1,509,2012-09-30,6.4,597.0,8.08,2012,9,6,Sunday,S24E01,6.0 - 6.9
Treehouse of Horror XXIII,24,2,510,2012-10-07,7.3,600.0,6.57,2012,10,6,Sunday,S24E02,7.0 - 7.9
Adventures in Baby-Getting,24,3,511,2012-11-04,6.9,460.0,5.65,2012,11,6,Sunday,S24E03,6.0 - 6.9
Gone Abie Gone,24,4,512,2012-11-11,6.7,415.0,6.86,2012,11,6,Sunday,S24E04,6.0 - 6.9
Penny-Wiseguys,24,5,513,2012-11-18,6.3,426.0,5.06,2012,11,6,Sunday,S24E05,6.0 - 6.9
A Tree Grows in Springfield,24,6,514,2012-11-25,6.5,430.0,7.46,2012,11,6,Sunday,S24E06,6.0 - 6.9
The Day the Earth Stood Cool,24,7,515,2012-12-09,7.2,493.0,7.44,2012,12,6,Sunday,S24E07,7.0 - 7.9
To Cur with Love,24,8,516,2012-12-16,7.2,441.0,3.77,2012,12,6,Sunday,S24E08,7.0 - 7.9
Homer Goes to Prep School,24,9,517,2013-01-06,6.9,411.0,8.97,2013,1,6,Sunday,S24E09,6.0 - 6.9
A Test Before Trying,24,10,518,2013-01-13,7.0,408.0,5.04,2013,1,6,Sunday,S24E10,7.0 - 7.9
The Changing of the Guardian,24,11,519,2013-01-27,6.6,405.0,5.23,2013,1,6,Sunday,S24E11,6.0 - 6.9
Love is a Many-Splintered Thing,24,12,520,2013-02-10,6.5,471.0,4.19,2013,2,6,Sunday,S24E12,6.0 - 6.9
Hardly Kirk-ing,24,13,521,2013-02-17,7.0,406.0,4.57,2013,2,6,Sunday,S24E13,7.0 - 7.9
Gorgeous Grampa,24,14,522,2013-03-03,6.2,423.0,4.66,2013,3,6,Sunday,S24E14,6.0 - 6.9
"Black Eyed, Please",24,15,523,2013-03-10,7.0,418.0,4.85,2013,3,6,Sunday,S24E15,7.0 - 7.9
Dark Knight Court,24,16,524,2013-03-17,7.1,417.0,4.89,2013,3,6,Sunday,S24E16,7.0 - 7.9
What Animated Women Want,24,17,525,2013-04-14,6.5,425.0,4.11,2013,4,6,Sunday,S24E17,6.0 - 6.9
Pulpit Friction,24,18,526,2013-04-28,6.5,405.0,4.54,2013,4,6,Sunday,S24E18,6.0 - 6.9
Whiskey Business,24,19,527,2013-05-05,6.8,371.0,4.43,2013,5,6,Sunday,S24E19,6.0 - 6.9
The Fabulous Faker Boy,24,20,528,2013-05-12,6.3,410.0,4.16,2013,5,6,Sunday,S24E20,6.0 - 6.9
The Saga of Carl,24,21,529,2013-05-19,7.2,460.0,4.01,2013,5,6,Sunday,S24E21,7.0 - 7.9
Dangers on a Train,24,22,530,2013-05-19,7.0,396.0,4.52,2013,5,6,Sunday,S24E22,7.0 - 7.9
Homerland,25,1,531,2013-09-29,7.0,635.0,6.37,2013,9,6,Sunday,S25E01,7.0 - 7.9
Treehouse of Horror XXIV,25,2,532,2013-10-06,7.1,654.0,6.42,2013,10,6,Sunday,S25E02,7.0 - 7.9
Four Regrettings and a Funeral,25,3,533,2013-11-03,6.5,482.0,5.43,2013,11,6,Sunday,S25E03,6.0 - 6.9
YOLO,25,4,534,2013-11-10,6.7,489.0,4.2,2013,11,6,Sunday,S25E04,6.0 - 6.9
Labor Pains,25,5,535,2013-11-17,7.1,442.0,4.08,2013,11,6,Sunday,S25E05,7.0 - 7.9
The Kid Is All Right,25,6,536,2013-11-24,6.5,468.0,6.78,2013,11,6,Sunday,S25E06,6.0 - 6.9
Yellow Subterfuge,25,7,537,2013-12-08,7.0,440.0,6.85,2013,12,6,Sunday,S25E07,7.0 - 7.9
White Christmas Blues,25,8,538,2013-12-15,6.5,449.0,8.48,2013,12,6,Sunday,S25E08,6.0 - 6.9
Steal This Episode,25,9,539,2014-01-05,7.6,648.0,12.04,2014,1,6,Sunday,S25E09,7.0 - 7.9
Married to the Blob,25,10,540,2014-01-12,7.1,475.0,4.83,2014,1,6,Sunday,S25E10,7.0 - 7.9
Specs and the City,25,11,541,2014-01-26,7.2,431.0,3.87,2014,1,6,Sunday,S25E11,7.0 - 7.9
Diggs,25,12,542,2014-03-09,6.4,473.0,2.69,2014,3,6,Sunday,S25E12,6.0 - 6.9
The Man Who Grew Too Much,25,13,543,2014-03-09,6.7,468.0,3.75,2014,3,6,Sunday,S25E13,6.0 - 6.9
The Winter of His Content,25,14,544,2014-03-16,6.6,407.0,4.02,2014,3,6,Sunday,S25E14,6.0 - 6.9
The War of Art,25,15,545,2014-03-23,7.0,414.0,3.98,2014,3,6,Sunday,S25E15,7.0 - 7.9
You Don't Have to Live Like a Referee,25,16,546,2014-03-30,6.9,430.0,3.91,2014,3,6,Sunday,S25E16,6.0 - 6.9
Luca$,25,17,547,2014-04-06,6.5,415.0,4.3,2014,4,6,Sunday,S25E17,6.0 - 6.9
Days of Future Future,25,18,548,2014-04-13,7.0,504.0,3.64,2014,4,6,Sunday,S25E18,7.0 - 7.9
What to Expect When Bart's Expecting,25,19,549,2014-04-27,5.8,445.0,3.45,2014,4,6,Sunday,S25E19,5.0 - 5.9
Brick Like Me,25,20,550,2014-05-04,7.7,705.0,4.39,2014,5,6,Sunday,S25E20,7.0 - 7.9
Pay Pal,25,21,551,2014-05-11,6.7,402.0,3.66,2014,5,6,Sunday,S25E21,6.0 - 6.9
The Yellow Badge of Cowardge,25,22,552,2014-05-18,6.7,416.0,3.28,2014,5,6,Sunday,S25E22,6.0 - 6.9
Clown in the Dumps,26,1,553,2014-09-28,5.8,652.0,8.53,2014,9,6,Sunday,S26E01,5.0 - 5.9
The Wreck of the Relationship,26,2,554,2014-10-05,6.9,490.0,4.27,2014,10,6,Sunday,S26E02,6.0 - 6.9
Super Franchise Me,26,3,555,2014-10-12,6.5,457.0,7.33,2014,10,6,Sunday,S26E03,6.0 - 6.9
Treehouse of Horror XXV,26,4,556,2014-10-19,7.3,612.0,7.76,2014,10,6,Sunday,S26E04,7.0 - 7.9
Opposites A-Frack,26,5,557,2014-11-02,6.3,442.0,4.22,2014,11,6,Sunday,S26E05,6.0 - 6.9
Simpsorama,26,6,558,2014-11-09,7.9,977.0,6.7,2014,11,6,Sunday,S26E06,7.0 - 7.9
Blazed and Confused,26,7,559,2014-11-16,6.9,456.0,6.7,2014,11,6,Sunday,S26E07,6.0 - 6.9
Covercraft,26,8,560,2014-11-23,6.5,431.0,3.45,2014,11,6,Sunday,S26E08,6.0 - 6.9
I Won't Be Home for Christmas,26,9,561,2014-12-07,6.8,432.0,6.52,2014,12,6,Sunday,S26E09,6.0 - 6.9
The Man Who Came to Be Dinner,26,10,562,2015-01-04,6.8,578.0,10.62,2015,1,6,Sunday,S26E10,6.0 - 6.9
Bart's New Friend,26,11,563,2015-01-11,7.3,434.0,4.28,2015,1,6,Sunday,S26E11,7.0 - 7.9
The Musk Who Fell to Earth,26,12,564,2015-01-25,5.8,439.0,3.29,2015,1,6,Sunday,S26E12,5.0 - 5.9
Walking Big & Tall,26,13,565,2015-02-08,6.3,377.0,2.78,2015,2,6,Sunday,S26E13,6.0 - 6.9
My Fare Lady,26,14,566,2015-02-15,6.7,360.0,2.67,2015,2,6,Sunday,S26E14,6.0 - 6.9
The Princess Guide,26,15,567,2015-03-01,6.6,372.0,3.93,2015,3,6,Sunday,S26E15,6.0 - 6.9
Sky Police,26,16,568,2015-03-08,6.9,377.0,3.79,2015,3,6,Sunday,S26E16,6.0 - 6.9
Waiting for Duffman,26,17,569,2015-03-15,6.7,374.0,3.59,2015,3,6,Sunday,S26E17,6.0 - 6.9
Peeping Mom,26,18,570,2015-04-19,6.7,334.0,3.23,2015,4,6,Sunday,S26E18,6.0 - 6.9
The Kids Are All Fight,26,19,571,2015-04-26,6.9,347.0,3.33,2015,4,6,Sunday,S26E19,6.0 - 6.9
Let's Go Fly a Coot,26,20,572,2015-05-03,6.2,330.0,3.12,2015,5,6,Sunday,S26E20,6.0 - 6.9
Bull-E,26,21,573,2015-05-10,6.8,335.0,2.77,2015,5,6,Sunday,S26E21,6.0 - 6.9
Mathlete's Feat,26,22,574,2015-05-17,6.9,335.0,2.82,2015,5,6,Sunday,S26E22,6.0 - 6.9
Every Man's Dream,27,1,575,2015-09-27,5.9,532.0,3.28,2015,9,6,Sunday,S27E01,5.0 - 5.9
Cue Detective,27,2,576,2015-10-04,6.7,395.0,6.02,2015,10,6,Sunday,S27E02,6.0 - 6.9
Puffless,27,3,577,2015-10-11,7.2,404.0,3.31,2015,10,6,Sunday,S27E03,7.0 - 7.9
Halloween of Horror,27,4,578,2015-10-18,7.5,462.0,3.69,2015,10,6,Sunday,S27E04,7.0 - 7.9
Treehouse of Horror XXVI,27,5,579,2015-10-25,6.8,385.0,6.75,2015,10,6,Sunday,S27E05,6.0 - 6.9
Friend with Benefit,27,6,580,2015-11-08,6.8,335.0,3.48,2015,11,6,Sunday,S27E06,6.0 - 6.9
Lisa with an 'S',27,7,581,2015-11-22,6.3,328.0,5.64,2015,11,6,Sunday,S27E07,6.0 - 6.9
Paths of Glory,27,8,582,2015-12-06,7.1,305.0,5.53,2015,12,6,Sunday,S27E08,7.0 - 7.9
Barthood,27,9,583,2015-12-13,8.4,698.0,5.97,2015,12,6,Sunday,S27E09,8.0 - 8.9
The Girl Code,27,10,584,2016-01-03,6.6,356.0,4.41,2016,1,6,Sunday,S27E10,6.0 - 6.9
Teenage Mutant Milk-Caused Hurdles,27,11,585,2016-01-10,6.8,309.0,8.33,2016,1,6,Sunday,S27E11,6.0 - 6.9
Much Apu About Something,27,12,586,2016-01-17,6.7,271.0,3.95,2016,1,6,Sunday,S27E12,6.0 - 6.9
Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,27,13,587,2016-02-14,6.3,252.0,2.89,2016,2,6,Sunday,S27E13,6.0 - 6.9
Gal of Constant Sorrow,27,14,588,2016-02-21,6.6,293.0,3.1,2016,2,6,Sunday,S27E14,6.0 - 6.9
Lisa the Veterinarian,27,15,589,2016-03-06,6.3,233.0,3.09,2016,3,6,Sunday,S27E15,6.0 - 6.9
The Marge-ian Chronicles,27,16,590,2016-03-13,7.3,262.0,3.07,2016,3,6,Sunday,S27E16,7.0 - 7.9
The Burns Cage,27,17,591,2016-04-03,6.5,246.0,2.32,2016,4,6,Sunday,S27E17,6.0 - 6.9
How Lisa Got Her Marge Back,27,18,592,2016-04-10,6.4,228.0,2.55,2016,4,6,Sunday,S27E18,6.0 - 6.9
Fland Canyon,27,19,593,2016-04-24,7.1,229.0,2.77,2016,4,6,Sunday,S27E19,7.0 - 7.9
To Courier with Love,27,20,594,2016-05-08,6.7,193.0,2.52,2016,5,6,Sunday,S27E20,6.0 - 6.9
Simprovised,27,21,595,2016-05-15,6.4,227.0,2.8,2016,5,6,Sunday,S27E21,6.0 - 6.9
Orange Is the New Yellow,27,22,596,2016-05-22,6.9,210.0,2.54,2016,5,6,Sunday,S27E22,6.0 - 6.9
